Input Word	Returned root	Expected root: 	Returned_root_BIRS: 
ছেলেগুলো		ছেলে		ছেলে		ছেলে
ছেলেটা		ছেলে		ছেলে		ছেলে
ছেলেটি		ছেলে		ছেলে		ছেলে
ছেলেদের		ছেলে		ছেলে		ছেলে
ছেলেকে		ছেলে		ছেলে		ছেলে
ছেলের		কেল		ছেলে		ছেলে
ছেলেই		ছেলে		ছেলে		ছেলে
ছেলেদেরকে		ছেলে		ছেলে		ছেলে
ছেলেদেরই		মেয়েদের		ছেলে		ছেলে
ছেলেটির		ছেলে		ছেলে		ছেলে
ছেলেটার		ছেলে		ছেলে		লেটার
মানুষগুলো		মানুষ		মানুষ		মানুষ
মানুষটা		মানুষ		মানুষ		মানুষ
মানুষটি		মানুষ		মানুষ		মানুষ
মানুষদের		মানুষ		মানুষ		মানুষ
মানুষকে		মানুষ		মানুষ		মানুষ
মানুষের		মানুষ		মানুষ		মানুষ
মানুষেরই		মানুষ		মানুষ		মানুষ
মানুষদেরকে		মানুষ		মানুষ		মানুষ
মানুষদেরই		মানুষ		মানুষ		মানুষ
মানুষটির		কানুটি		মানুষ		মানুষ
মানুষটার		মানুষ		মানুষ		মানুষ
মানুষরা		মানুষ		মানুষ		মানুষ
গাছগুলা		গাছ		গাছ		গাছ
গাছগুলো		গাছ		গাছ		গুলো
গাছগুলি		গাছ		গাছ		গাছ
গাছটি		গাছ		গাছ		গাছ
গাছের		গাছ		গাছ		গাছ
গাছেরই		কাছের		গাছ		গাছ
গাছটির		কাছি		গাছ		গাছ
গাছটার		গাছা		গাছ		গাছ
গাছখানা		গাছ		গাছ		খানা
গাছখানি		গাছ		গাছ		গাছ
গাছে		গাছ		গাছ		গাছ
প্রতিদ্বন্দ্বীগুলো	প্রতিদ্বন্দ্বী		প্রতিদ্বন্দ্বী		প্রতিদ্বন্দ্বি
প্রতিদ্বন্দ্বীটি		প্রতিদ্বন্দ্বী		প্রতিদ্বন্দ্বী		প্রতিদ্বন্দ্বি
প্রতিদ্বন্দ্বীদের		প্রতিদ্বন্দ্বী		প্রতিদ্বন্দ্বী		প্রতিদ্বন্দ্বি
প্রতিদ্বন্দ্বীকে		প্রতিদ্বন্দ্বী		প্রতিদ্বন্দ্বী		প্রতিদ্বন্দ্বি
প্রতিদ্বন্দ্বীর		প্রতিদ্বন্দ্বী		প্রতিদ্বন্দ্বী		প্রতিদ্বন্দ্বি
প্রতিদ্বন্দ্বীই		প্রতিদ্বন্দ্বী		প্রতিদ্বন্দ্বী		প্রতিদ্বন্দ্বি
প্রতিদ্বন্দ্বীদেরকে	প্রতিদ্বন্দ্বী		প্রতিদ্বন্দ্বী		প্রতিদ্বন্দ্বি
প্রতিদ্বন্দ্বীদেরই	প্রতিদ্বন্দ্বী		প্রতিদ্বন্দ্বী		প্রতিদ্বন্দ্বি
প্রতিদ্বন্দ্বীটির		প্রতিদ্বন্দ্বী		প্রতিদ্বন্দ্বী		প্রতিদ্বন্দ্বি
প্রতিদ্বন্দ্বীরা		প্রতিদ্বন্দ্বী		প্রতিদ্বন্দ্বী		প্রতিদ্বন্দ্বি
প্রতিদ্বন্দ্বীগণ		প্রতিদ্বন্দ্বী		প্রতিদ্বন্দ্বী		প্রতিদ্বন্দ্বি
টুর্নামেণ্টগুলা	টুর্নামেণ্ট		টুর্নামেণ্ট		টুর্নামেণ্ট
টুর্নামেণ্টগুলো	টুর্নামেণ্ট		টুর্নামেণ্ট		টুর্নামেণ্ট
টুর্নামেণ্টগুলি	টুর্নামেণ্ট		টুর্নামেণ্ট		টুর্নামেণ্ট
টুর্নামেণ্টটি		টুর্নামেণ্ট		টুর্নামেণ্ট		টুর্নামেণ্ট
টুর্নামেণ্টের		টুর্নামেণ্ট		টুর্নামেণ্ট		টুর্নামেণ্ট
টুর্নামেণ্টেরই		টুর্নামেণ্ট		টুর্নামেণ্ট		টুর্নামেণ্ট
টুর্নামেণ্টটির		টুর্নামেণ্ট		টুর্নামেণ্ট		টুর্নামেণ্ট
টুর্নামেণ্টটার		টুর্নামেণ্ট		টুর্নামেণ্ট		টুর্নামেণ্ট
টুর্নামেণ্টখানা	টুর্নামেণ্ট		টুর্নামেণ্ট		টুর্নামেণ্ট
বুদ্ধিজীবীরা		বুদ্ধিজীবী		বুদ্ধিজীবী		বুদ্ধিজীবি
বুদ্ধিজীবীসকল	বুদ্ধিজীবী		বুদ্ধিজীবী		বুদ্ধিজীবি
বুদ্ধিজীবীমহল	বুদ্ধিজীবী		বুদ্ধিজীবী		বুদ্ধিজীবি
বুদ্ধিজীবীগণ		বুদ্ধিজীবী		বুদ্ধিজীবী		বুদ্ধিজীবি
বুদ্ধিজীবীদের	বুদ্ধিজীবী		বুদ্ধিজীবী		বুদ্ধিজীবি
বুদ্ধিজীবীদেরকে	বুদ্ধিজীবী		বুদ্ধিজীবী		বুদ্ধিজীবি
বুদ্ধিজীবীর		বুদ্ধিজীবী		বুদ্ধিজীবী		বুদ্ধিজীবি
বুদ্ধিজীবীরা		বুদ্ধিজীবী		বুদ্ধিজীবী		বুদ্ধিজীবি
বুদ্ধিজীবীমণ্ডলী	বুদ্ধিজীবী		বুদ্ধিজীবী		বুদ্ধিজীবি
ডাক্তাররা		ডাক্তার		ডাক্তার		ডাক্তার
ডাক্তারসকল		ডাক্তার		ডাক্তার		ডাক্তার
ডাক্তারমহল		ডাক্তার		ডাক্তার		ডাক্তার
ডাক্তারদের		ডাক্তার		ডাক্তার		ডাক্তার
ডাক্তারদেরকে	ডাক্তার		ডাক্তার		ডাক্তার
ডাক্তাররা		ডাক্তার		ডাক্তার		ডাক্তার
ডাক্তারমণ্ডলী		ডাক্তার		ডাক্তার		ডাক্তার
ডাক্তারটির		ডাক্তারি		ডাক্তার		ডাক্তার
ডাক্তারের		ডাক্তার		ডাক্তার		ডাক্তার
ডাক্তারেরই		ডাক্তার		ডাক্তার		ডাক্তার
ডাক্তারই		ডাক্তার		ডাক্তার		ডাক্তার
গৃহিণীগুলো,		গৃহিণী		গৃহিণী		গৃহিণীগুলো,
গৃহিণীটা,		গৃহিণী		গৃহিণী		গৃহিণীটা,
গৃহিণীটি,		গৃহিণী		গৃহিণী		গৃহিণীটি,
গৃহিণীখানা,		গৃহিণী		গৃহিণী		গৃহিণীখানা,
গৃহিণীদের,		গৃহিণী		গৃহিণী		গৃহিণীদের,
গৃহিণীবৃন্দ		গৃহিণী		গৃহিণী		গৃহিণীবৃন্দ
গৃহিণীকে,		গৃহিণী		গৃহিণী		গৃহিণীকে,
গৃহিণীর,		গৃহিণী		গৃহিণী		গৃহিণীর,
গৃহিণীের,		গৃহিণী		গৃহিণী		গৃহিণীের,
গৃহিণীতে,		গৃহিণী		গৃহিণী		গৃহিণীতে,
গৃহিণীে		গৃহিণী		গৃহিণী		গৃহিণীে
গৃহিণীই,		গৃহিণী		গৃহিণী		গৃহিণীই,
গৃহিণীও		গৃহিণী		গৃহিণী		গৃহিণীও
গাধাগুলো,		গাঙ্গুলি		গাধা		গাধা
গাধাটা,		গাধা		গাধা		গাধা
গাধাটি,		গাধা		গাধা		গাধা
গাধাখানা,		ছাপাখানা		গাধা		গাধা
গাধাদের,		তোমাদের		গাধা		গাধা
গাধাবৃন্দ		গাধা		গাধা		গাধা
গাধাকে,		গাধা		গাধা		গাধা
গাধার,		গাধা		গাধা		গাধা
গাধাের,		গাধা		গাধা		গাধা
গাধাতে,		কারাতে		গাধা		গাধা
গাধাে		গাধা		গাধা		গাধা
গাধাই,		গাধা		গাধা		গাধা
গাধাও		গাধা		গাধা		গাধা
তরোয়ালগুলো,	তরোয়াল		তরোয়াল		তরোয়াল
তরোয়ালটা,		তরোয়াল		তরোয়াল		তরোয়াল
তরোয়ালটি,		তরোয়াল		তরোয়াল		তরোয়াল
তরোয়ালখানা,	তোশাখানা		তরোয়াল		তরোয়াল
তরোয়ালদের,	তোমাদের		তরোয়াল		তরোয়াল
তরোয়ালবৃন্দ		তরোয়াল		তরোয়াল		তরোয়াল
তরোয়ালকে,		তরোয়াল		তরোয়াল		তরোয়াল
তরোয়ালর,		তরোয়াল		তরোয়াল		তরোয়াল
তরোয়ালের,		তরোয়াল		তরোয়াল		তরোয়াল
তরোয়ালতে,		তরোয়াল		তরোয়াল		তরোয়াল
তরোয়ালে		তরোয়াল		তরোয়াল		তরোয়াল
তরোয়ালই,		তরোয়াল		তরোয়াল		তরোয়াল
তরোয়ালও		তরোয়াল		তরোয়াল		তরোয়াল
থিয়েটারগুলো,	থিয়েটার_হল		থিয়েটার		থিয়েটার
থিয়েটারটা,		থিয়েটার		থিয়েটার		থিয়েটার
থিয়েটারটি,		থিয়েটার		থিয়েটার		থিয়েটার
থিয়েটারখানা,	থিয়েটার		থিয়েটার		থিয়েটার
থিয়েটারদের,		থিয়েটার		থিয়েটার		থিয়েটার
থিয়েটারবৃন্দ		থিয়েটার		থিয়েটার		থিয়েটার
থিয়েটারকে,		থিয়েটার		থিয়েটার		থিয়েটার
থিয়েটারর,		থিয়েটার		থিয়েটার		থিয়েটার
থিয়েটারের,		থিয়েটার		থিয়েটার		থিয়েটার
থিয়েটারতে,		থিয়েটার		থিয়েটার		থিয়েটার
থিয়েটারে		থিয়েটার		থিয়েটার		থিয়েটার
থিয়েটারই,		থিয়েটার		থিয়েটার		থিয়েটার
থিয়েটারও		থিয়েটার		থিয়েটার		থিয়েটার
দরখাস্তগুলো,	দরখাস্ত		দরখাস্ত		দরখাস্ত
দরখাস্তটা,		দরখাস্ত		দরখাস্ত		দরখাস্ত
দরখাস্তটি,		দরখাস্ত		দরখাস্ত		দরখাস্ত
দরখাস্তখানা,		দরখাস্তকারী		দরখাস্ত		দরখাস্ত
দরখাস্তদের,		দরখাস্তকারী		দরখাস্ত		দরখাস্ত
দরখাস্তবৃন্দ		দরখাস্ত		দরখাস্ত		দরখাস্ত
দরখাস্তকে,		দরখাস্ত		দরখাস্ত		দরখাস্ত
দরখাস্তর,		দরখাস্ত		দরখাস্ত		দরখাস্ত
দরখাস্তের,		দরখাস্ত		দরখাস্ত		দরখাস্ত
দরখাস্ততে,		দরখাস্ত		দরখাস্ত		দরখাস্ত
দরখাস্তে		দরখাস্ত		দরখাস্ত		দরখাস্ত
দরখাস্তই,		দরখাস্ত		দরখাস্ত		দরখাস্ত
দরখাস্তও		দরখাস্ত		দরখাস্ত		দরখাস্ত
দলিলগুলো,		দলিলগুলো,		দলিল		দলিল
দলিলটা,		দলিল		দলিল		দলিল
দলিলটি,		গিলটি		দলিল		দলিল
দলিলখানা,		পিলখানা		দলিল		দলিল
দলিলদের,		দলিল		দলিল		দলিল
দলিলবৃন্দ		দলিল		দলিল		দলিল
দলিলকে,		ছিলকে		দলিল		দলিল
দলিলর,		দলিল		দলিল		দলিল
দলিলের,		দলিল		দলিল		দলিল
দলিলতে,		চিলতে		দলিল		দলিল
দলিলে		দলিল		দলিল		দলিল
দলিলই,		দলিল		দলিল		দলিল
দলিলও		দলিল		দলিল		দলিল
দারোগাগুলো,	দারোগা		দারোগা		দারোগা
দারোগাটা,		দারোগা		দারোগা		দারোগা
দারোগাটি,		দারোগা		দারোগা		দারোগা
দারোগাখানা,		দারোগা		দারোগা		দারোগা
দারোগাদের,		দারোগা		দারোগা		দারোগা
দারোগাবৃন্দ		দারোগা		দারোগা		দারোগা
দারোগাকে,		দারোগা		দারোগা		দারোগা
দারোগার,		দারোগা		দারোগা		দারোগা
দারোগাের,		দারোগা		দারোগা		দারোগা
দারোগাতে,		দারোগা		দারোগা		দারোগা
দারোগাে		দারোগা		দারোগা		দারোগা
দারোগাই,		দারোগা		দারোগা		দারোগা
দারোগাও		দারোগা		দারোগা		দারোগা
দুর্ঘটনাগুলো,		দুর্ঘটনা		দুর্ঘটনা		দুর্ঘটনা
দুর্ঘটনাটা,		দুর্ঘটনা		দুর্ঘটনা		দুর্ঘটনা
দুর্ঘটনাটি,		দুর্ঘটনা		দুর্ঘটনা		দুর্ঘটনা
দুর্ঘটনাখানা,		দুর্ঘটনা		দুর্ঘটনা		দুর্ঘটনা
দুর্ঘটনাদের,		দুর্ঘটনা		দুর্ঘটনা		দুর্ঘটনা
দুর্ঘটনাবৃন্দ		দুর্ঘটনা		দুর্ঘটনা		দুর্ঘটনা
দুর্ঘটনাকে,		দুর্ঘটনা		দুর্ঘটনা		দুর্ঘটনা
দুর্ঘটনার,		দুর্ঘটনা		দুর্ঘটনা		দুর্ঘটনা
দুর্ঘটনাের,		দুর্ঘটনা		দুর্ঘটনা		দুর্ঘটনা
দুর্ঘটনাতে,		দুর্ঘটনা		দুর্ঘটনা		দুর্ঘটনা
দুর্ঘটনাে		দুর্ঘটনা		দুর্ঘটনা		দুর্ঘটনা
দুর্ঘটনাই,		দুর্ঘটনা		দুর্ঘটনা		দুর্ঘটনা
দুর্ঘটনাও		দুর্ঘটনা		দুর্ঘটনা		দুর্ঘটনা
দুর্নীতিগুলো,		দুর্নীতি		দুর্নীতি		দুর্নীত
দুর্নীতিটা,		দুর্নীতি		দুর্নীতি		দুর্নীত
